0                   1                   
1                   0.699               
2                   0.479               
3                   0.334               
4                   0.241               
5                   0.171               
6                   0.12                
7                   0.078               
8                   0.056               
9                   0.042               
10                  0.031               
11                  0.023               
12                  0.017               
13                  0.01                
14                  0.007               
15                  0.002               
16                  0                   
